2019-10-22 22:26:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  18,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 919.0; Tile: ROAD
2019-10-22 22:26:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  17,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 918.0; Tile: ROAD
2019-10-22 22:26:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  16,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 917.0; Tile: ROAD
2019-10-22 22:26:57 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  15,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 916.0; Tile: ROAD
2019-10-22 22:26:58 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  14,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 915.0; Tile: ROAD
2019-10-22 22:26:58 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  13,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 914.0; Tile: ROAD
2019-10-22 22:26:58 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  12,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 913.0; Tile: ROAD
2019-10-22 22:26:58 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  11,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 912.0; Tile: ROAD
2019-10-22 22:26:59 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  10,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 911.0; Tile: ROAD
2019-10-22 22:26:59 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  10,3; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 910.0; Tile: ROAD
2019-10-22 22:26:59 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  10,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 909.0; Tile: ROAD
2019-10-22 22:26:59 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 908.0; Tile: ROAD
2019-10-22 22:27:00 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 907.0; Tile: ROAD
2019-10-22 22:27:00 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 906.0; Tile: ROAD
2019-10-22 22:27:00 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 905.0; Tile: ROAD
2019-10-22 22:27:00 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 904.0; Tile: ROAD
2019-10-22 22:27:01 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 903.0; Tile: ROAD
2019-10-22 22:27:01 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 902.0; Tile: ROAD
2019-10-22 22:27:01 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  18,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 901.0; Tile: ROAD
2019-10-22 22:27:01 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  19,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 900.0; Tile: ROAD
2019-10-22 22:27:02 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  20,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 899.0; Tile: ROAD
2019-10-22 22:27:02 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  21,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 898.0; Tile: ROAD
2019-10-22 22:27:02 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  22,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 897.0; Tile: ROAD
2019-10-22 22:27:02 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  23,4; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 896.0; Tile: ROAD
2019-10-22 22:27:03 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  23,3; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 895.0; Tile: ROAD
2019-10-22 22:27:03 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  23,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 894.0; Tile: ROAD
2019-10-22 22:27:03 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  23,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 893.0; Tile: ROAD
2019-10-22 22:27:03 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  22,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 892.0; Tile: ROAD
2019-10-22 22:27:04 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  21,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 891.0; Tile: ROAD
2019-10-22 22:27:04 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  20,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 890.0; Tile: ROAD
2019-10-22 22:27:04 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  20,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 889.0; Tile: ROAD
2019-10-22 22:27:04 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  19,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 888.0; Tile: ROAD
2019-10-22 22:27:05 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  18,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 887.0; Tile: ROAD
2019-10-22 22:27:05 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  17,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 886.0; Tile: ROAD
2019-10-22 22:27:05 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  16,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 885.0; Tile: ROAD
2019-10-22 22:27:05 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  16,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 884.0; Tile: ROAD
2019-10-22 22:27:06 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  15,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 883.0; Tile: ROAD
2019-10-22 22:27:06 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  14,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 882.0; Tile: ROAD
2019-10-22 22:27:06 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  14,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 881.0; Tile: ROAD
2019-10-22 22:27:06 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 880.0; Tile: ROAD
2019-10-22 22:27:07 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 879.0; Tile: ROAD
2019-10-22 22:27:07 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 878.0; Tile: ROAD
2019-10-22 22:27:07 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  17,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 877.0; Tile: ROAD
2019-10-22 22:27:07 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  16,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 876.0; Tile: ROAD
2019-10-22 22:27:08 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  15,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 875.0; Tile: ROAD
2019-10-22 22:27:08 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  15,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 874.0; Tile: ROAD
2019-10-22 22:27:08 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 873.0; Tile: ROAD
2019-10-22 22:27:08 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 872.0; Tile: ROAD
2019-10-22 22:27:09 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  17,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 871.0; Tile: ROAD
2019-10-22 22:27:09 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  16,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 870.0; Tile: ROAD
2019-10-22 22:27:09 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  15,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 869.0; Tile: ROAD
2019-10-22 22:27:09 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  15,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 868.0; Tile: ROAD
2019-10-22 22:27:10 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  14,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 867.0; Tile: ROAD
2019-10-22 22:27:10 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  14,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 866.0; Tile: ROAD
2019-10-22 22:27:10 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 865.0; Tile: ROAD
2019-10-22 22:27:10 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 864.0; Tile: ROAD
2019-10-22 22:27:11 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  16,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 863.0; Tile: ROAD
2019-10-22 22:27:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  15,2; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 862.0; Tile: ROAD
2019-10-22 22:27:11 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  15,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 861.0; Tile: ROAD
2019-10-22 22:27:11 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 860.0; Tile: ROAD
2019-10-22 22:27:12 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,1; Parcels:      1; Health: 200.0; Health Usage: 200.0; Fuel: 859.0; Tile: ROAD
